"","Lower CI","Point Estimate","Upper CI"
"ac_pneumonia_Age1",0.777257525083612,0.952459016393443,1.15621890547264
"ac_pneumonia_Age1_0",0.719297864046381,0.922453703703704,1.16520467836257
"ac_pneumonia_Age1_1",0.763598326359833,0.9125,1.0960960960961
"ac_pneumonia_Age2",0.635687732342007,0.846534653465347,1.16326530612245
"ac_pneumonia_Age3",0.323943661971831,0.543307086614173,0.945205479452055
"ac_pneumonia_Age4",0.453038674033149,0.645669291338583,0.921348314606742
"ac_pneumonia_Age5",0.793621013133208,1.06281407035176,1.43389830508475
"ac_pneumonia_Age6",0.97037037037037,1.23004694835681,1.99239543726236
"HP_all_raw_Age1",0.577639751552795,0.738095238095238,0.948979591836735
"RP_all_raw_Age1",0.383259911894273,0.73109243697479,1.16
"VS_SP_all_raw_Age1",0.542331229172724,0.721163174393664,0.947494033412888
